concept	joy	trust	fear	surprise	sadness	disgust	anger	anticipation
Bomb	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
bill	0.053065881291623554	0.0	0.09896625911738469	0.10879568568832615	0.04796563655888319	0.0	0.06157321025238142	0.020267038918401904
kite	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
woodsman	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
rita	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
include	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pancake	0.07517666516313336	0.0	0.0	0.0	0.0	0.0	0.0	0.22969310774188822
sweater	0.0	0.0	0.0	0.15412722139179538	0.0	0.0	0.0	0.22969310774188822
dedicate	0.11276499774470004	0.0	0.0	0.0	0.20385395537525355	0.0	0.0	0.0
duck	0.18042399639152007	0.0	0.0	0.0	0.0	0.0	0.0	0.06890793232256646
festival	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
anxiety	0.0	0.1191827468785471	0.16824264049955398	0.0	0.0	0.0	0.0	0.13781586464513293
apprehensive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
storm	0.020502726862672734	0.054173975853885045	0.11471089124969588	0.0	0.0	0.0	0.14273789649415694	0.09396536225804518
quickly	0.035609999287800016	0.0627277615150248	0.11068594769707497	0.09734350824744971	0.0	0.0	0.027545909849749584	0.07253466560270154
pleasure	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
December	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pair	0.15035333032626672	0.0	0.0	0.0	0.0	0.0	0.11630495269894268	0.03828218462364804
relay	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
espresso	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
joey	0.0	0.0	0.21030330062444247	0.0	0.20385395537525355	0.0	0.0	0.0
United	0.0	0.0	0.0	0.2311908320876931	0.0	0.0	0.0	0.17226983080641617
longer	0.04510599909788002	0.0	0.08412132024977699	0.0	0.08154158215010142	0.0	0.20934891485809684	0.0
pooh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
game	0.13401057702993338	0.0	0.018287243532560213	0.0	0.05317929270658788	0.019123426197091436	0.037925528054003045	0.044939955862543346
unacceptable	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
piano	0.11276499774470004	0.0	0.05257582515611062	0.0	0.05096348884381339	0.0	0.0	0.08613491540320808
pipe	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
tearful	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
palm	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nice	0.1845245417640546	0.0	0.0	0.02101734837160846	0.018532177761386687	0.0	0.0	0.03132178741934839
breadcrumb	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
miss	0.03758833258156668	0.0	0.09346813361086331	0.05137574046393179	0.15855307640297497	0.0	0.02907623817473567	0.01914109231182402
subpar	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
daydream	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
flinch	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
crave	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
jockey	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yes	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pouty	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
shelby	0.11276499774470004	0.0	0.0	0.0	0.20385395537525355	0.0	0.0	0.0
nowhere	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
tanya	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mall	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
proudly	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
compete	0.16914749661705006	0.0	0.0	0.0	0.0	0.0	0.0	0.08613491540320808
windowless	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
will	0.11276499774470004	0.0	0.0	0.0	0.10192697768762678	0.0	0.0	0.08613491540320808
gum	0.15035333032626672	0.0	0.0	0.0	0.0	0.0	0.17445742904841402	0.0
different	0.17541221871397786	0.0	0.04673406680543166	0.0	0.0	0.0	0.0	0.03828218462364804
Old	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
by	0.15035333032626672	0.0	0.0	0.07706361069589769	0.06795131845841786	0.0	0.0	0.0
all	0.07517666516313336	0.0	0.028040440083258993	0.1233017771134363	0.02718052738336714	0.043983880253310306	0.0	0.06890793232256646
maddie	0.11276499774470004	0.0	0.0	0.2311908320876931	0.0	0.0	0.0	0.0
disappear	0.11276499774470004	0.0	0.0	0.2311908320876931	0.0	0.0	0.0	0.0
curl	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
presidential	0.0	0.0	0.0	0.0	0.0	0.6597582037996546	0.0	0.0
shocked	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
skate	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tour	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
sadly	0.0	0.0	0.21030330062444247	0.0	0.20385395537525355	0.0	0.0	0.0
desk	0.0939708314539167	0.0	0.14020220041629497	0.038531805347948846	0.0	0.0	0.0	0.057423276935472056
freezer	0.07517666516313336	0.0	0.07010110020814748	0.15412722139179538	0.0	0.0	0.0	0.057423276935472056
discuss	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
alien	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
suite	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
online	0.06343031123139378	0.018622304199772986	0.02628791257805531	0.014449427005480818	0.012740872210953347	0.020617443868739205	0.0	0.18303669523181718
vanilla	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
front	0.06443714156840002	0.0	0.08011554309502569	0.04403634896908439	0.038829324833381626	0.031417057323793074	0.07476746959217744	0.04921995165897605
special	0.08457374830852503	0.07448921679909194	0.0	0.0	0.10192697768762678	0.0	0.0	0.08613491540320808
tooth	0.10023555355084449	0.0	0.14020220041629497	0.10275148092786358	0.0	0.0	0.0	0.0
Canada	0.05638249887235002	0.14897843359818388	0.0	0.0	0.20385395537525355	0.0	0.0	0.0
lotion	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
seek	0.09021199819576003	0.0	0.08412132024977699	0.0	0.08154158215010142	0.0	0.0	0.06890793232256646
physical	0.0	0.0	0.0	0.0	0.4077079107505071	0.0	0.0	0.0
comedy	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
narrow	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
heavy	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
postpone	0.11276499774470004	0.0	0.21030330062444247	0.0	0.0	0.0	0.0	0.0
if	0.07517666516313336	0.0	0.0	0.0	0.0	0.0	0.0	0.22969310774188822
squirrel	0.03221857078420001	0.0	0.06008665732126928	0.0	0.058243987250072446	0.0	0.07476746959217744	0.14765985497692816
diagnosis	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
quiz	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
bird	0.13266470322905888	0.03505374908192562	0.02474156477934617	0.027198921422081537	0.023982818279441594	0.0	0.03078660512619071	0.04053407783680381
peppermint	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
much	0.11766782373360005	0.0	0.009143621766280106	0.06031065184896341	0.06204250815768586	0.05737027859127431	0.02275531683240183	0.01497998528751445
smell	0.08054642696050003	0.0	0.03004332866063464	0.1321090469072532	0.0	0.04712558598568961	0.0	0.07382992748846408
spider	0.0	0.0	0.16824264049955398	0.18495266567015445	0.0	0.0	0.10467445742904842	0.0
mainland	0.0	0.0	0.0	0.15412722139179538	0.1359026369168357	0.0	0.0	0.11484655387094411
document	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
anymore	0.02819124943617501	0.0	0.10515165031222123	0.05779770802192327	0.20385395537525355	0.0	0.0	0.0
swipe	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
ad	0.05638249887235002	0.0	0.10515165031222123	0.0	0.0	0.0	0.0	0.17226983080641617
slammed	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
console	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
moth	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
narrowly	0.11276499774470004	0.0	0.0	0.0	0.20385395537525355	0.0	0.0	0.0
trompe	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
urinate	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
tea	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eviction	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
League	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
house	0.09021199819576003	0.022346765039727583	0.057833407671721675	0.028898854010961636	0.05096348884381339	0.024740932642487046	0.019626460767946576	0.05598769501208525
walgreen	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
nasty	0.0	0.0	0.0	0.2311908320876931	0.0	0.0	0.26168614357262104	0.0
want	0.0719961139446931	0.022919759015105214	0.021030330062444248	0.017783910160591776	0.04390700577313154	0.010150126212302378	0.004025940670348016	0.14576677991312137
allowance	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHristmas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
greatly	0.11276499774470004	0.0	0.21030330062444247	0.0	0.0	0.0	0.0	0.0
shelter	0.12887428313680005	0.0851305334846765	0.06008665732126928	0.0	0.0	0.0	0.0	0.04921995165897605
shovel	0.07517666516313336	0.0	0.0	0.0	0.1359026369168357	0.0	0.0	0.11484655387094411
loose	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ancient	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
ungrateful	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lion	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
action	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
receive	0.12887428313680005	0.0	0.03004332866063464	0.0660545234536266	0.029121993625036223	0.0	0.07476746959217744	0.0
zombie	0.15035333032626672	0.0	0.0	0.0	0.1359026369168357	0.0	0.0	0.0
expectation	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
perform	0.12301636117603641	0.0	0.03823696374989863	0.0	0.0	0.0	0.04757929883138564	0.09396536225804518
dove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
poison	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
engage	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
highschool	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
african	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
wussie	0.0	0.0	0.0	0.0	0.0	0.6597582037996546	0.0	0.0
poorly	0.0	0.0	0.0	0.0	0.20385395537525355	0.0	0.26168614357262104	0.0
frisbee	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
counter	0.11276499774470004	0.0	0.10515165031222123	0.0	0.0	0.0	0.0	0.08613491540320808
Boston	0.09021199819576003	0.0	0.16824264049955398	0.0	0.0	0.0	0.0	0.06890793232256646
dangerous	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
resold	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
neat	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
yell	0.013266470322905888	0.0	0.12370782389673086	0.027198921422081537	0.04796563655888319	0.0	0.24629284100952567	0.0
attractive	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
championship	0.19733874605322507	0.0	0.0	0.0	0.05096348884381339	0.0	0.0	0.0
gaming	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
margarine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
dodged	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
check	0.09665571235260004	0.0170261066969353	0.07210398878552313	0.03963271407217595	0.023297594900028976	0.0	0.014953493918435487	0.06890793232256646
practical	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
ashamed	0.0	0.0	0.0	0.0	0.20385395537525355	0.0	0.0	0.17226983080641617
goldfish	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
circle	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
payment	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
flood	0.15035333032626672	0.0	0.0	0.0	0.0	0.0	0.0	0.11484655387094411
cookout	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
coldness	0.0	0.0	0.0	0.0	0.0	0.6597582037996546	0.0	0.0
instrument	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
every	0.12216208089009171	0.008276579644343548	0.02336703340271583	0.019265902673974423	0.039638269100743743	0.018326616772212628	0.02907623817473567	0.057423276935472056
emergency	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
needle	0.0	0.0	0.21030330062444247	0.0	0.0	0.0	0.26168614357262104	0.0
mailbox	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
gigantic	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
station	0.0	0.0	0.06008665732126928	0.0	0.11648797450014489	0.0	0.0	0.1968798066359042
just	0.0	0.0	0.0	0.2311908320876931	0.20385395537525355	0.0	0.0	0.0
saved	0.0	0.0	0.0	0.0	0.4077079107505071	0.0	0.0	0.0
cream	0.13531799729364005	0.0	0.0	0.023119083208769306	0.06115618661257607	0.0	0.026168614357262105	0.05168094924192485
Sub	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'	0.05011777677542224	0.0	0.0	0.0	0.1359026369168357	0.0	0.05815247634947134	0.11484655387094411
lot	0.13095290060674844	0.028834535535132363	0.013567954878996287	0.02983107510808943	0.019727802133089053	0.010641261351607333	0.03376595400937046	0.05001382184702405
wash	0.042286874154262515	0.03724460839954597	0.05257582515611062	0.05779770802192327	0.10192697768762678	0.12370466321243523	0.03271076794657763	0.0
Statue	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
engineering	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jumper	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
physics	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
clapped	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
creek	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
dust	0.11276499774470004	0.0	0.0	0.2311908320876931	0.0	0.0	0.0	0.0
rip	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
drowning	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
napkin	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
after	0.13180324411718186	0.015478278815395728	0.021849693571370645	0.04803965342081934	0.02117963172729907	0.01713657672206895	0.020391128070593848	0.04027086953916222
signal	0.0	0.0	0.21030330062444247	0.0	0.0	0.0	0.0	0.17226983080641617
Boardwalk	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
trust	0.0	0.5959137343927355	0.0	0.0	0.0	0.0	0.0	0.0
jame	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
challenge	0.09866937302661254	0.03724460839954597	0.02628791257805531	0.0	0.0	0.0	0.0	0.15073610195561415
easily	0.16109285392100006	0.0851305334846765	0.0	0.0660545234536266	0.0	0.0	0.0	0.0
salmon	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
minerva	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
CD	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dirty	0.0	0.0	0.18025997196380783	0.1321090469072532	0.0	0.0	0.0	0.0984399033179521
quest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
belittle	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
fight	0.018042399639152006	0.02383654937570942	0.0	0.018495266567015445	0.0978498985801217	0.02639032815198618	0.23028380634390652	0.04134475939353988
baguette	0.11276499774470004	0.0	0.21030330062444247	0.0	0.0	0.0	0.0	0.0
coupon	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vote	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
worry	0.04100545372534547	0.0	0.22942178249939177	0.0	0.0	0.05997801852724133	0.0	0.06264357483869679
concert	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dorm	0.15035333032626672	0.19863791146424517	0.0	0.0	0.0	0.0	0.0	0.0
muscle	0.07517666516313336	0.0	0.28040440083258994	0.0	0.0	0.0	0.0	0.0
teaspoon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
promise	0.11276499774470004	0.14897843359818388	0.05257582515611062	0.0	0.025481744421906694	0.0	0.0	0.02153372885080202
no	0.07517666516313336	0.19863791146424517	0.0	0.0	0.1359026369168357	0.0	0.0	0.0
barber	0.11276499774470004	0.29795686719636777	0.0	0.0	0.0	0.0	0.0	0.0
amazed	0.11276499774470004	0.0	0.0	0.2311908320876931	0.0	0.0	0.0	0.0
child	0.0956793920258061	0.018057991951295017	0.012745654583299543	0.028023131162144613	0.04941914069703116	0.0	0.06343906510851419	0.07308417064514626
Jeffrey	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otoscope	0.0	0.0	0.42060660124888494	0.0	0.0	0.0	0.0	0.0
open	0.07296558677598239	0.03505374908192562	0.03711234716901926	0.10879568568832615	0.023982818279441594	0.019404653052931018	0.03078660512619071	0.05066759729600476
star	0.16109285392100006	0.0	0.0	0.1321090469072532	0.0	0.0	0.0	0.0
hatch	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
afternoon	0.11276499774470004	0.0	0.21030330062444247	0.0	0.0	0.0	0.0	0.0
scored	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
emptying	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
Magnificent	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
irish	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
water	0.11551536354335126	0.014534481326652086	0.030776092774308653	0.045110406261013286	0.00994409538415871	0.01609166350730865	0.012765177735249806	0.0756306574272071
position	0.11276499774470004	0.14897843359818388	0.10515165031222123	0.0	0.0	0.0	0.0	0.0
bun	0.15035333032626672	0.0	0.0	0.0	0.1359026369168357	0.0	0.0	0.0
calm	0.0	0.0	0.0	0.2311908320876931	0.0	0.0	0.0	0.17226983080641617
promotion	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
behalf	0.0	0.0	0.0	0.0	0.4077079107505071	0.0	0.0	0.0
cover	0.06765899864682003	0.05959137343927355	0.0	0.18495266567015445	0.0	0.1319516407599309	0.0	0.0
basis	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abroad	0.15035333032626672	0.0	0.0	0.0	0.0	0.0	0.0	0.11484655387094411
Season	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sixteen	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chemical	0.0	0.0	0.0	0.0	0.4077079107505071	0.0	0.0	0.0
harangue	0.0	0.0	0.0	0.0	0.0	0.0	0.5233722871452421	0.0
Microbiology	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
creepy	0.0	0.0	0.0	0.4623816641753862	0.0	0.0	0.0	0.0
avocado	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
quick	0.07517666516313336	0.0	0.14020220041629497	0.0	0.0	0.0	0.0	0.11484655387094411
beer	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
exciting	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
DC	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tantrum	0.0	0.0	0.0	0.0	0.20385395537525355	0.3298791018998273	0.0	0.0
approve	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fertilizer	0.0	0.0	0.0	0.0	0.4077079107505071	0.0	0.0	0.0
elate	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
history	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
newlywed	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Luckily	0.16914749661705006	0.0	0.0	0.0	0.0	0.0	0.0	0.08613491540320808
application	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
debbie	0.13531799729364005	0.0	0.0	0.0	0.0	0.1319516407599309	0.0	0.06890793232256646
judgement	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
belong	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
performing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
b	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34453966161283234
success	0.11276499774470004	0.0	0.0	0.0	0.20385395537525355	0.0	0.0	0.0
underway	0.2255299954894001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mortgage	0.11276499774470004	0.0	0.0	0.0	0.0	0.0	0.0	0.17226983080641617
troubling	0.0	0.0	0.0	0.0	0.4077079107505071	0.0	0.0	0.0
